family;mode;size;align_method;tree_method;slave;tc
TNF;slave;1000;MAFFT-FFTNS1;FAMSA;famsadnd;38.9
TNF;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;mbed;45.9
TNF;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;parttree;51.6
TNF;slave;1000;MAFFT-FFTNS1;MAFFT_PARTTREE;famsadnd;42.0
TNF;slave;1000;FAMSA;CLUSTALO;mbed;56.1
TNF;slave;1000;FAMSA;CLUSTALO;parttree;58.0
TNF;slave;1000;FAMSA;CLUSTALO;famsadnd;57.3
TNF;slave;1000;FAMSA;CLUSTALO-RANDOM;mbed;54.1
TNF;slave;1000;FAMSA;CLUSTALO-RANDOM;parttree;56.1
TNF;slave;1000;FAMSA;CLUSTALO-RANDOM;famsadnd;57.3
TNF;slave;1000;FAMSA;FAMSA;mbed;63.1
TNF;slave;1000;FAMSA;FAMSA;parttree;49.0
TNF;slave;1000;FAMSA;FAMSA;famsadnd;57.3
TNF;slave;1000;FAMSA;MAFFT_PARTTREE;mbed;63.1
TNF;slave;1000;FAMSA;MAFFT_PARTTREE;parttree;51.6
TNF;slave;1000;FAMSA;MAFFT_PARTTREE;famsadnd;57.3
sti;slave;1000;CLUSTALO;CLUSTALO;mbed;56.0
sti;slave;1000;CLUSTALO;CLUSTALO;parttree;57.6
sti;slave;1000;CLUSTALO;CLUSTALO;famsadnd;62.0
sti;slave;1000;CLUSTALO;CLUSTALO-RANDOM;mbed;60.3
sti;slave;1000;CLUSTALO;CLUSTALO-RANDOM;parttree;50.5
sti;slave;1000;CLUSTALO;CLUSTALO-RANDOM;famsadnd;62.0
sti;slave;1000;CLUSTALO;FAMSA;mbed;47.3
sti;slave;1000;CLUSTALO;FAMSA;parttree;49.5
sti;slave;1000;CLUSTALO;FAMSA;famsadnd;62.0
sti;slave;1000;CLUSTALO;MAFFT_PARTTREE;mbed;58.2
sti;slave;1000;CLUSTALO;MAFFT_PARTTREE;parttree;48.4
sti;slave;1000;CLUSTALO;MAFFT_PARTTREE;famsadnd;62.0
sti;slave;1000;MAFFT-FFTNS1;CLUSTALO;mbed;17.4
